,leaf_index,leaf_value,leaf_weight,leaf_count,tree_index,split_index,depth,split_feature,split_gain,threshold,decision_type,default_left,missing_type,internal_value,internal_weight,internal_count
43,17,0.04262014195743295,6.760057911276816,14,1,25,7,16,14.771300315856934,-0.9685809622467533,<=,True,NaN,0.0293134,34.7381,108
44,26,0.020183759239190437,16.507805496454242,63,1,27,8,28,13.709799766540527,107.50000000000001,<=,True,NaN,0.0260676,27.978,94
45,28,0.0344812962976318,11.470202833414076,31,1,27,8,28,13.709799766540527,107.50000000000001,<=,True,NaN,0.0260676,27.978,94
46,9,0.02684002985342024,18.98915730416775,63,1,9,6,32,30.41160011291504,-0.012386231006610349,<=,True,NaN,0.0200068,26.8247,103
47,10,0.0034181836160840366,7.835573494434356,40,1,9,6,32,30.41160011291504,-0.012386231006610349,<=,True,NaN,0.0200068,26.8247,103
48,3,0.014879239144253186,13.653060883283617,58,1,10,7,16,26.564199447631836,-0.06934932123347819,<=,True,NaN,0.00623177,22.2053,109
49,11,-0.007576047617231014,8.552234187722204,51,1,10,7,16,26.564199447631836,-0.06934932123347819,<=,True,NaN,0.00623177,22.2053,109
50,5,0.0017353658903236618,8.771268501877783,46,1,22,10,16,25.01889991760254,-0.09331464747439719,<=,False,NaN,0.0149702,22.6827,96
51,23,0.023299183645012246,13.91141773760319,50,1,22,10,16,25.01889991760254,-0.09331464747439719,<=,False,NaN,0.0149702,22.6827,96
52,22,0.029982204732290935,14.647733509540556,45,1,21,9,42,19.988399505615234,114.15000152587892,<=,True,NaN,0.0208747,37.3304,141
53,21,0.020119099139430278,10.17598254978657,39,1,23,9,13,19.60849952697754,188.50000000000003,<=,True,NaN,0.0312113,27.5345,82
54,24,0.037680395909328,17.358524903655052,43,1,23,9,13,19.60849952697754,188.50000000000003,<=,True,NaN,0.0312113,27.5345,82
55,18,0.019237967431808133,13.077506303787233,51,1,26,9,42,14.564900398254395,71.79999923706056,<=,True,NaN,0.0263256,23.5209,79
56,27,0.03514248303656677,10.443387836217878,28,1,26,9,42,14.564900398254395,71.79999923706056,<=,True,NaN,0.0263256,23.5209,79
57,19,-0.004120720102898206,9.984306678175928,57,1,19,9,32,21.352500915527344,-0.028333418976547446,<=,True,NaN,0.00662956,21.740099999999998,106
58,20,0.015750608287103122,11.75579923391342,49,1,19,9,32,21.352500915527344,-0.028333418976547446,<=,True,NaN,0.00662956,21.740099999999998,106
59,4,0.016685769746631333,9.958302542567255,41,1,5,6,13,44.387699127197266,209.50000000000003,<=,False,NaN,-2.17636e-05,26.757,145
60,6,-0.0054541813011001194,5.977982982993126,35,1,32,7,16,1.838879942893982,-0.21055586638944654,<=,False,NaN,-0.00993482,16.7987,104
61,33,-0.012394268847567214,10.820681497454645,69,1,32,7,16,1.838879942893982,-0.21055586638944654,<=,False,NaN,-0.00993482,16.7987,104
62,1,0.03411114972018749,22.25094583630562,61,1,31,4,32,7.4852399826049805,-0.010602366999759548,<=,True,NaN,0.0385525,50.3967,121
